Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL
89,P6.09,446.068750,,0.000000,Tone,91.5,88.5,023,NN,NFM,5.00,,,,,,
90,P6.10,446.068750,,0.000000,Tone,94.8,88.5,023,NN,NFM,5.00,,,,,,
91,P6.11,446.068750,,0.000000,Tone,97.4,88.5,023,NN,NFM,5.00,,,,,,
92,P6.12,446.068750,,0.000000,Tone,100.0,88.5,023,NN,NFM,5.00,,,,,,
93,P6.13,446.068750,,0.000000,Tone,103.5,88.5,023,NN,NFM,5.00,,,,,,
94,P6.14,446.068750,,0.000000,Tone,107.2,88.5,023,NN,NFM,5.00,,,,,,
95,P6.15,446.068750,,0.000000,Tone,110.9,88.5,023,NN,NFM,5.00,,,,,,
96,P7,446.081250,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
97,P7.01,446.081250,,0.000000,Tone,67.0,88.5,023,NN,NFM,5.00,,,,,,
98,P7.02,446.081250,,0.000000,Tone,71.9,88.5,023,NN,NFM,5.00,,,,,,
99,P7.03,446.081250,,0.000000,Tone,74.4,88.5,023,NN,NFM,5.00,,,,,,
100,P7.04,446.081250,,0.000000,Tone,77.0,88.5,023,NN,NFM,5.00,,,,,,
101,P7.05,446.081250,,0.000000,Tone,79.7,88.5,023,NN,NFM,5.00,,,,,,
102,P7.06,446.081250,,0.000000,Tone,82.5,88.5,023,NN,NFM,5.00,,,,,,
103,P7.07,446.081250,,0.000000,Tone,85.4,88.5,023,NN,NFM,5.00,,,,,,
104,P7.08,446.081250,,0.000000,Tone,88.5,88.5,023,NN,NFM,5.00,,,,,,
105,P7.09,446.081250,,0.000000,Tone,91.5,88.5,023,NN,NFM,5.00,,,,,,
106,P7.10,446.081250,,0.000000,Tone,94.8,88.5,023,NN,NFM,5.00,,,,,,
107,P7.11,446.081250,,0.000000,Tone,97.4,88.5,023,NN,NFM,5.00,,,,,,
108,P7.12,446.081250,,0.000000,Tone,100.0,88.5,023,NN,NFM,5.00,,,,,,
109,P7.13,446.081250,,0.000000,Tone,103.5,88.5,023,NN,NFM,5.00,,,,,,
110,P7.14,446.081250,,0.000000,Tone,107.2,88.5,023,NN,NFM,5.00,,,,,,
111,P7.15,446.081250,,0.000000,Tone,110.9,88.5,023,NN,NFM,5.00,,,,,,
112,P8,446.093750,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
113,P8.01,446.093750,,0.000000,Tone,67.0,88.5,023,NN,NFM,5.00,,,,,,
114,P8.02,446.093750,,0.000000,Tone,71.9,88.5,023,NN,NFM,5.00,,,,,,
115,P8.03,446.093750,,0.000000,Tone,74.4,88.5,023,NN,NFM,5.00,,,,,,
116,P8.04,446.093750,,0.000000,Tone,77.0,88.5,023,NN,NFM,5.00,,,,,,
117,P8.05,446.093750,,0.000000,Tone,79.7,88.5,023,NN,NFM,5.00,,,,,,
118,P8.06,446.093750,,0.000000,Tone,82.5,88.5,023,NN,NFM,5.00,,,,,,
119,P8.07,446.093750,,0.000000,Tone,85.4,88.5,023,NN,NFM,5.00,,,,,,
120,P8.08,446.093750,,0.000000,Tone,88.5,88.5,023,NN,NFM,5.00,,,,,,
121,P8.09,446.093750,,0.000000,Tone,91.5,88.5,023,NN,NFM,5.00,,,,,,
122,P8.10,446.093750,,0.000000,Tone,94.8,88.5,023,NN,NFM,5.00,,,,,,
123,P8.11,446.093750,,0.000000,Tone,97.4,88.5,023,NN,NFM,5.00,,,,,,
124,P8.12,446.093750,,0.000000,Tone,100.0,88.5,023,NN,NFM,5.00,,,,,,
125,P8.13,446.093750,,0.000000,Tone,103.5,88.5,023,NN,NFM,5.00,,,,,,
126,P8.14,446.093750,,0.000000,Tone,107.2,88.5,023,NN,NFM,5.00,,,,,,
127,P8.15,446.093750,,0.000000,Tone,110.9,88.5,023,NN,NFM,5.00,,,,,,
